SOC,PulseLength(s),Temperature(C),Voltage(V),True_SOP(W),SHAP_SOC,SHAP_PulseLength(s),SHAP_Temperature(C),SHAP_Voltage(V)
1.000016667,10.688,-9.0184,3.5069,42.841,8.076448047218728,-0.30276412236038597,-9.95350171755883,7.452155946587445
1.000016667,10.004,-19.179,3.4659,24.208,4.983721868409775,-2.261985074270051,-22.947775507636834,10.03413818595116
1.000016667,12.391,0.81664,3.4579,65.466,10.075970841930248,-1.099176251287572,4.67645364108379,13.479415748699102
1.0,30.003,-9.2291,3.5069,34.683,7.958216443794663,-8.227046705174725,-9.41145213986514,6.5889203174959405
1.0,30.003,-17.843,3.4928,19.896,5.21338717749517,-7.7213009400921875,-20.340800199715886,6.059541707885219
1.0,30.002,-17.904,3.4885,19.81,5.347460971336695,-7.245677679541987,-20.688153315114324,8.03019740294083
1.0,30.002,-18.466,3.4995,19.943,5.268000822739559,-7.667818069993518,-20.778477250931317,5.87224959551706
1.0,30.0,-8.9903,3.4903,34.042,7.874382938474301,-7.814684225392994,-9.52399300068384,6.322036522495328
1.0,30.002,-18.598,3.4978,19.929,5.279261297436315,-7.667818069993518,-20.800998202112968,5.883510068649193
1.0,10.002,-9.4609,3.5703,41.515,6.260537896141759,0.5489020919660106,-10.543236615016358,8.331637701002183
1.0,30.004,-8.2264,3.4939,34.186,7.940518673252663,-7.9714127385080795,-9.487663762725424,6.838445122059202
1.0,30.003,-9.1759,3.4977,34.204,7.958216443794663,-8.251747710879426,-9.444060531917494,6.504930203518597
1.0,30.002,-17.939,3.4951,19.889,5.312559730766225,-7.686358668326866,-20.629424136460294,5.861729059031932
1.0,30.003,-9.3215,3.5095,35.101,7.907209138690377,-8.249614339831751,-9.609777221202386,6.483580393682932
1.0,25.414,-8.6091,3.5111,36.284,7.50910268922511,-4.412907271108124,-9.496529601865914,5.200946692003636
1.0,28.551,-8.4228,3.511,35.683,7.583261905714753,-4.964666535283905,-9.376752905731555,5.302224599270849
1.0,30.003,1.7503,3.4783,67.806,11.481141207446344,-5.920163566796109,4.633475516154431,16.513483989537928
1.0,30.003,2.0011,3.4742,66.699,11.642031687241978,-5.87956127054058,5.0587154824845495,16.65970404358697
0.999983333,30.003,-18.535,3.5093,20.198,5.15465827089909,-7.4547408941807225,-20.728279812939,5.9901457191852385
0.999983333,10.002,-8.2837,3.5478,42.139,6.057488686870202,0.22295012517599389,-10.147818839886458,8.240236065514619
0.999983333,10.002,-8.6244,3.5627,41.825,6.048310819346807,0.2254514191299677,-10.143503925475525,8.027153380104574
0.999983333,10.002,-8.3917,3.5641,41.79,6.086211844165227,0.251963840208482,-10.059499177878024,8.106971172384219
0.999983333,10.002,-9.5144,3.567,41.694,5.744040635157726,0.5766846673144027,-12.30487502257456,8.06457389755291
0.999983333,28.894,-17.99,3.5144,20.878,5.0126721502811415,-4.869582908761222,-20.725259764569344,4.592073933718493
0.999983333,26.243,-18.571,3.5166,21.486,4.9164267350145385,-4.300228484855033,-21.025535068551545,4.773861477774335
0.999983333,27.669,-19.015,3.5153,21.175,4.9287048780237095,-4.431258361302316,-20.977037446151954,4.844115584444953
0.999983333,30.002,-18.822,3.5041,20.014,5.163583876632037,-7.436952280201949,-20.817919520272408,5.823023816918721
0.999975,23.702,-17.991,3.5181,22.121,4.905105576299829,-3.7218174761370757,-20.75599394210847,4.792793094654335
0.999975,24.428,-18.947,3.518,21.804,4.892157364300219,-3.74291555153206,-20.984729772454592,4.78918782568886
0.999975,30.003,1.4366,3.4722,65.305,11.002537319012918,-5.366546589653008,5.153466596840881,16.244708693368594
0.999975,30.003,-18.67,3.5064,20.058,5.120938508178806,-7.463128080801107,-20.650597142365296,5.952897307210369
0.999975,2.003,-18.161,3.4759,31.71,2.3937993007514162,5.124361604936421,-22.44212030068622,9.164406720957485
0.999975,2.002,-18.068,3.4787,31.48,2.337606394883478,7.0831877493066715,-22.467837870741494,7.191027062310605
0.999975,2.003,-18.774,3.4806,31.208,2.350384675230598,7.103522188996431,-22.50401470248471,7.2137119364913085
0.999975,2.002,-18.171,3.4839,31.024,2.337606394883478,7.0831877493066715,-22.526869611988076,7.166325836459873
0.999975,30.002,-18.755,3.5114,20.345,5.12839096724405,-7.446812613396905,-20.737290556954687,5.785775404943852
0.999975,30.002,-18.932,3.5132,20.581,5.12839096724405,-7.416449742554687,-20.632264894770923,5.949038053228287
0.999975,14.716,-8.3749,3.5169,40.268,7.084038982630009,-0.3020417593908496,-9.941972770894644,6.722896354702534
0.999975,10.003,-8.8401,3.5499,42.082,6.617845264192438,-0.35553757079411297,-10.151514339920832,7.831552505410509
