SOC,PulseLength(s),Temperature(C),Voltage(V),AvgCurrent_20s,True_SOP(W),SHAP_SOC,SHAP_PulseLength(s),SHAP_Temperature(C),SHAP_Voltage(V),SHAP_AvgCurrent_20s,fold
0.899996532,10.003,0.96375,4.0708,0.0,99.102,17.431282,-0.53185916,7.8809342,7.6820736,-2.022024,3
0.899996532,10.003,0.96375,4.0708,0.0,99.102,15.1056795,-0.77354777,10.902507,6.8456116,-2.555065,2
0.899996532,10.003,0.96375,4.0708,0.0,99.102,19.835827,-1.0407522,5.779224,9.665954,-2.3113933,4
0.899996532,10.003,0.96375,4.0708,0.0,99.102,15.427283,-0.599728,9.170231,5.7205405,-1.7480701,1
0.899996532,10.003,0.96375,4.0708,0.0,99.102,18.181414,-0.11584934,13.663372,5.9462266,-2.3659604,5
0.899996242,10.002,27.699,4.0613,0.0,102.4,15.50268,0.08744684,11.277554,6.638747,-1.7985538,3
0.899996242,10.002,27.699,4.0613,0.0,102.4,13.508826,0.59494823,13.387288,6.383845,-2.0379438,2
0.899996242,10.002,27.699,4.0613,0.0,102.4,13.790235,-0.2409725,10.482235,5.276848,-2.063053,1
0.899996242,10.002,27.699,4.0613,0.0,102.4,15.835534,0.37617576,12.253164,7.126947,-1.9807429,4
0.899996242,10.002,27.699,4.0613,0.0,102.4,16.150782,0.012840366,14.748655,4.6568704,-2.3761382,5
0.899996162,10.002,12.792,4.0306,0.0,93.411,15.426595,0.38887575,2.674851,5.925353,-3.239405,2
0.899996162,10.002,12.792,4.0306,0.0,93.411,17.844463,-0.084326684,2.718754,6.520916,-2.3217978,3
0.899996162,10.002,12.792,4.0306,0.0,93.411,18.242392,-0.06442083,4.300611,5.095832,-3.280116,5
0.899996162,10.002,12.792,4.0306,0.0,93.411,15.361089,0.020972343,2.6605937,6.464163,-2.5421891,1
0.899996162,10.002,12.792,4.0306,0.0,93.411,18.13964,0.36319542,3.2736337,6.9822993,-2.934625,4
0.899995742,10.002,-7.1402,3.9806,0.0,72.358,12.204086,0.43924394,-17.78223,6.694911,-2.5210898,2
0.899995742,10.002,-7.1402,3.9806,0.0,72.358,12.32533,0.026651397,-16.493519,5.520995,-2.4925482,1
0.899995742,10.002,-7.1402,3.9806,0.0,72.358,13.336385,-0.04671358,-21.334995,4.71127,-3.2509933,5
0.899995742,10.002,-7.1402,3.9806,0.0,72.358,14.0747175,-0.05787715,-21.997736,7.213757,-1.8326561,3
0.899995742,10.002,-7.1402,3.9806,0.0,72.358,14.501067,0.39244625,-18.228767,7.4959016,-3.0795388,4
0.801354051,10.002,3.6709,3.6914,9.000166667,97.287,16.273436,-0.031125352,1.7786996,2.839749,4.8152065,1
0.801354051,10.002,3.6709,3.6914,9.000166667,97.287,17.393175,0.3691863,2.3710759,3.7477014,5.0034943,4
0.801354051,10.002,3.6709,3.6914,9.000166667,97.287,16.051136,0.5160909,3.0856962,2.7292094,4.8242335,2
0.801354051,10.002,3.6709,3.6914,9.000166667,97.287,18.315874,-0.040397793,2.008212,3.7054265,3.6170766,3
0.801354051,10.002,3.6709,3.6914,9.000166667,97.287,18.042984,-0.015295634,3.1654534,3.1097598,4.9533844,5
0.801347085,10.002,3.9957,3.6255,12.00166667,97.206,15.97177,0.5160909,3.15232,1.3723894,5.4550815,2
0.801347085,10.002,3.9957,3.6255,12.00166667,97.206,18.018791,-0.03587137,3.4672725,2.3010874,5.373536,5
0.801347085,10.002,3.9957,3.6255,12.00166667,97.206,18.20828,-0.009005215,2.3984292,1.2298865,3.7079878,3
0.801347085,10.002,3.9957,3.6255,12.00166667,97.206,17.15495,0.4030259,3.4629555,2.1570833,5.9921103,4
0.801347085,10.002,3.9957,3.6255,12.00166667,97.206,16.25542,-0.067681074,1.6771551,2.3612905,5.4445214,1
0.800804084,10.003,2.5018,3.7633,5.999004762,97.251,15.906871,-0.81485564,1.9875871,4.4191976,5.2078013,2
0.800804084,10.003,2.5018,3.7633,5.999004762,97.251,18.425022,-0.2937454,2.8132303,3.2647855,4.7855535,5
0.800804084,10.003,2.5018,3.7633,5.999004762,97.251,18.060444,-1.3088491,1.752382,4.899647,5.3318553,4
0.800804084,10.003,2.5018,3.7633,5.999004762,97.251,18.028296,-0.7461832,0.6099996,4.390179,3.748702,3
0.800804084,10.003,2.5018,3.7633,5.999004762,97.251,16.169834,-0.65984666,0.31265312,4.5259185,4.445151,1
0.800501242,10.002,1.904,3.8528,3.000014286,97.274,18.079678,0.34957546,1.6562136,5.3822165,4.0693626,4
0.800501242,10.002,1.904,3.8528,3.000014286,97.274,15.580204,0.20133124,2.5301683,5.069977,4.035421,2
0.800501242,10.002,1.904,3.8528,3.000014286,97.274,16.283981,-0.035605054,0.9115119,5.28814,3.3121786,1
0.800501242,10.002,1.904,3.8528,3.000014286,97.274,17.822615,-0.055582218,2.4778385,4.1619225,2.6902375,3
0.800501242,10.002,1.904,3.8528,3.000014286,97.274,18.347168,-0.14491802,2.8166797,4.0137024,4.2155514,5
0.800201356,10.002,41.193,3.9375,0.999855238,104.41,13.753109,-0.13848442,13.293648,4.085265,2.18659,1
